Actual,Predicted
18.732,18.408558
21.916,22.092436
16.278,15.663231
17.563,17.896982
20.819,19.508198
26.355,25.20178
24.514,23.90167
22.546,25.652798
19.663,17.856998
20.357,20.46894
22.409,21.284403
16.932,17.274544
20.742,19.084692
26.944,26.530985
20.134,19.289968
16.669,15.267127
26.407,27.18184
22.694,20.930355
19.528,23.173561
21.502,20.877697
15.888,14.724588
13.433,14.831564
26.222,29.649355
14.112,15.5228195
19.103,19.114035
30.527,26.850937
18.578,17.434473
18.371,19.450924
22.385,21.340298
29.989,28.27481
27.687,26.152098
32.083,31.346998
20.536,22.666443
19.796,19.880075
19.548,21.406826
18.265,16.433603
18.252,19.237478
18.293,19.209135
12.835,14.771711
17.131,22.379116
23.275,24.700796
21.296,23.269247
15.534,14.21722
21.404,21.060625
21.512,20.02629
20.7,21.006918
11.397,13.800478
18.367,17.134968
19.036,16.608168
17.103,15.44251
27.573,25.371824
15.141,15.590839
15.475,14.75628
15.982,16.937708
14.894,15.703642
29.478,29.010286
23.697,22.485348
12.873,11.29222
20.651,20.887075
23.652,23.87165
20.385,19.251577
24.06,23.374424
18.341,20.785393
28.761,26.34475
22.435,21.338886
13.782,16.210957
19.919,20.932158
25.851,25.173113
28.444,26.217915
28.934,26.503973
20.53,21.842115
22.177,22.951246
19.366,20.707289
24.065,23.918385
26.283,24.817793
23.433,23.537941
12.601,14.925881
18.332,19.091665
21.152,19.074165
26.752,27.780416
22.721,22.041487
19.039,17.33901
21.735,22.801172
23.344,22.842798
20.179,18.539696
21.628,21.998648
22.138,21.682728
16.725,18.285961
18.742,19.062168
17.16,16.314352
16.742,15.578234
24.361,28.036629
23.783,21.843275
19.137,19.535355
21.006,21.112143
22.077,23.199726
22.553,20.19084
24.001,23.637794
22.902,23.497372
15.428,15.960409
23.161,24.863754
22.282,20.17329
20.365,21.925714
20.088,20.289392
24.896,21.808773
19.634,18.636003
24.578,23.424255
22.401,25.070639
19.435,19.227623
20.09,20.937756
16.687,18.100374
13.201,13.110552
20.737,20.726885
23.645,22.830381
29.341,24.949562
15.551,18.042545
27.041,26.206224
21.685,22.048622
20.49,19.66977
18.578,21.858952
18.254,17.961102
21.065,21.056883
28.502,28.635742
21.888,24.608889
18.169,19.431162
22.547,21.473265
28.857,26.261623
19.883,21.299961
21.933,22.501616
19.68,19.859161
18.781,17.08958
17.526,18.429127
23.083,23.294827
20.328,19.507446
18.971,19.898924
21.064,21.69784
20.221,22.775928
22.379,23.474102
21.949,19.493654
28.266,24.362192
22.729,23.298573
13.939,13.659438
26.27,26.805641
13.788,13.913828
24.691,25.012325
19.801,19.69991
14.153,14.466436
19.655,21.34118
30.455,26.932087
20.661,21.356998
21.538,20.356403
14.207,14.46842
25.804,27.656076
16.244,16.992453
14.154,15.156778
24.786,22.371975
21.916,22.44452
17.509,17.606306
29.26,24.998726
20.241,19.6413
25.062,26.887484
25.704,27.58017
21.423,24.049068
18.45,19.361736
18.276,18.896769
17.488,18.40698
21.911,19.839931
18.518,20.48384
20.442,20.7664
21.126,19.962727
25.168,24.601254
28.752,26.586945
20.481,21.859367
19.243,16.652807
17.325,18.848436
22.328,21.353119
16.468,17.395164
22.005,20.395882
17.21,19.064062
23.124,24.540617
15.759,15.931648
27.351,26.342466
22.889,23.261782
28.295,24.986534
16.047,15.104052
20.504,19.910852
23.601,22.758547
28.018,27.516388
23.032,24.512197
21.479,23.00363
26.255,25.639769
25.799,28.233925
25.568,23.67739
20.226,23.330063
21.418,21.634132
18.411,19.29899
21.325,21.273527
21.519,24.0427
13.819,13.084724
25.126,21.892725
22.323,21.41287
18.975,16.961693
26.785,26.260422
22.463,24.664757
17.582,19.333784
22.466,25.1037
17.284,16.473972
24.352,24.722134
20.524,24.493452
18.169,21.275034
23.062,22.769094
12.677,12.117426
19.207,20.566895
29.032,28.042263
19.736,20.302303
24.757,23.26184
19.005,19.733406
15.402,16.92302
15.153,16.954468
21.343,22.63444
21.473,22.900318
20.662,21.181725
22.748,21.477203
14.427,14.382833
21.384,18.692818
21.288,19.45429
20.413,20.201889
24.562,21.457273
28.449,27.770046
21.075,18.631155
19.246,20.44656
19.971,19.956127
17.905,16.781752
15.292,15.674175
20.133,21.335806
20.101,19.795044
18.697,17.810215
25.255,25.87309
15.674,16.671778
25.948,26.60181
